Source,Target,Weight,Type
"Absolute cognition","Being",1.0,undirected
"Absolute cognition","Mediation",3.0,undirected
"Absolute cognition","Nature",1.0,undirected
"Absolute knowledge","Essence",1.0,undirected
"Absolute knowledge","Knowing",1.0,undirected
"Absolute knowledge","Mediation",2.0,undirected
"Absolute knowledge","Nature",1.0,undirected
"Absolute knowledge","Negation",1.0,undirected
"Absolute knowledge","Work",1.0,undirected
"Abstraction","Alienation",3.0,undirected
"Abstraction","Antithesis",2.0,undirected
"Abstraction","Art",1.0,undirected
"Abstraction","Being",16.0,undirected
"Abstraction","Certainty",2.0,undirected
"Abstraction","Consciousness",10.0,undirected
"Abstraction","Content",7.0,undirected
"Abstraction","Cowardice",1.0,undirected
"Abstraction","Culture",1.0,undirected
"Abstraction","Death",1.0,undirected
"Abstraction","Devotion",1.0,undirected
"Abstraction","Dissolution",1.0,undirected
"Abstraction","Duty",6.0,undirected
"Abstraction","Emptiness",1.0,undirected
"Abstraction","Essence",17.0,undirected
"Abstraction","Existence",5.0,undirected
"Abstraction","Externality",1.0,undirected
"Abstraction","Extreme",2.0,undirected
"Abstraction","Faith",1.0,undirected
"Abstraction","Force",1.0,undirected
"Abstraction","Forms",2.0,undirected
"Abstraction","Gravity",1.0,undirected
"Abstraction","Hand",2.0,undirected
"Abstraction","Identity",3.0,undirected
"Abstraction","Immediacy",1.0,undirected
"Abstraction","Individuality",3.0,undirected
"Abstraction","Intension",1.0,undirected
"Abstraction","Knowing",1.0,undirected
"Abstraction","Matter",2.0,undirected
"Abstraction","Mediation",1.0,undirected
"Abstraction","Moment",6.0,undirected
"Abstraction","Morality",1.0,undirected
"Abstraction","Movement",4.0,undirected
"Abstraction","Multiplicity",1.0,undirected
"Abstraction","Nature",3.0,undirected
"Abstraction","Negation",4.0,undirected
"Abstraction","Negativity",3.0,undirected
"Abstraction","Nothingness",2.0,undirected
"Abstraction","Notion",6.0,undirected
"Abstraction","Object",1.0,undirected
"Abstraction","Otherness",2.0,undirected
"Abstraction","Perception",3.0,undirected
"Abstraction","Positive",2.0,undirected
"Abstraction","Possession",1.0,undirected
"Abstraction","Power",2.0,undirected
"Abstraction","Property",1.0,undirected
"Abstraction","Purity",3.0,undirected
"Abstraction","Quality",1.0,undirected
"Abstraction","Reality",11.0,undirected
"Abstraction","Reason",2.0,undirected
"Abstraction","Recognition",1.0,undirected
"Abstraction","Scepticism",1.0,undirected
"Abstraction","Shape",2.0,undirected
"Abstraction","Simplicity",1.0,undirected
"Abstraction","Soul",1.0,undirected
"Abstraction","Spirit",3.0,undirected
"Abstraction","Stoicism",3.0,undirected
"Abstraction","Subject",1.0,undirected
"Abstraction","Subsistence",1.0,undirected
"Abstraction","Substance",3.0,undirected
"Abstraction","Time",1.0,undirected
"Abstraction","Triumph",2.0,undirected
"Abstraction","Unconscious",1.0,undirected
"Abstraction","Unity",2.0,undirected
"Abstraction","Universality",3.0,undirected
"Abstraction","Virtue",3.0,undirected
"Abstraction","World",2.0,undirected
"Abyss","Depth",1.0,undirected
"Abyss","Fate",1.0,undirected
"Abyss","Hand",1.0,undirected
"Abyss","Law",1.0,undirected
"Abyss","Nature",1.0,undirected
"Abyss","Order",2.0,undirected
"Abyss","Substance",1.0,undirected
"Acknowledgement","Actuality",1.0,undirected
"Acknowledgement","Antigone",1.0,undirected
"Acknowledgement","Antithesis",1.0,undirected
"Acknowledgement","Authority",1.0,undirected
"Acknowledgement","Consciousness",3.0,undirected
"Acknowledgement","Content",1.0,undirected
"Acknowledgement","Identity",1.0,undirected
"Acknowledgement","Power",1.0,undirected
"Acknowledgement","Reality",1.0,undirected
"Acknowledgement","Time",1.0,undirected
"Acquaintance","Certainty",1.0,undirected
"Acquaintance","Evil",1.0,undirected
"Acquaintance","Instrument",1.0,undirected
"Acquaintance","Nature",1.0,undirected
"Acquaintance","Relationship",1.0,undirected
"Acquaintance","Understanding",1.0,undirected
"Action","Actuality",20.0,undirected
"Action","Animal",1.0,undirected
"Action","Antigone",1.0,undirected
"Action","Antithesis",14.0,undirected
"Action","Arena",1.0,undirected
"Action","Artificer",1.0,undirected
"Action","Being",71.0,undirected
"Action","bondsman",3.0,undirected
"Action","Brother",1.0,undirected
"Action","Certainty",5.0,undirected
"Action","Character",11.0,undirected
"Action","Children",1.0,undirected
"Action","Community",5.0,undirected
"Action","Consciousness",94.0,undirected
"Action","Contemplation",1.0,undirected
"Action","Content",21.0,undirected
"Action","Contingency",5.0,undirected
"Action","Contradiction",2.0,undirected
"Action","Conviction",5.0,undirected
"Action","Cowardice",2.0,undirected
"Action","Crime",2.0,undirected
"Action","Culture",1.0,undirected
"Action","Customs",2.0,undirected
"Action","Death",2.0,undirected
"Action","Derangement",1.0,undirected
"Action","Desire",2.0,undirected
"Action","Destruction",4.0,undirected
"Action","Determinations",2.0,undirected
"Action","Devotion",1.0,undirected
"Action","Disparity",2.0,undirected
"Action","Dissemblance",2.0,undirected
"Action","Duty",28.0,undirected
"Action","Earnestness",1.0,undirected
"Action","Electricity",1.0,undirected
"Action","Elimination",2.0,undirected
"Action","Enjoyment",14.0,undirected
"Action","Enlightenment",1.0,undirected
"Action","Essence",26.0,undirected
"Action","Evil",2.0,undirected
"Action","Existence",16.0,undirected
"Action","Experience",5.0,undirected
"Action","Expression",5.0,undirected
"Action","Externality",4.0,undirected
"Action","Externalization",1.0,undirected
"Action","Extreme",5.0,undirected
"Action","Faith",9.0,undirected
"Action","Fate",5.0,undirected
"Action","Formalism",1.0,undirected
"Action","Forms",22.0,undirected
"Action","Freedom",5.0,undirected
"Action","God",1.0,undirected
"Action","Government",1.0,undirected
"Action","Hand",12.0,undirected
"Action","Happiness",4.0,undirected
"Action","Hope",1.0,undirected
"Action","Hypocrisy",1.0,undirected
"Action","Idea",3.0,undirected
"Action","Identity",3.0,undirected
"Action","Immediacy",2.0,undirected
"Action","Independence",3.0,undirected
"Action","Individuality",33.0,undirected
"Action","Intention",2.0,undirected
"Action","Interfusion",2.0,undirected
"Action","Inwardness",1.0,undirected
"Action","Irritability",1.0,undirected
"Action","Isolation",2.0,undirected
"Action","Judgement",4.0,undirected
"Action","Knowing",10.0,undirected
"Action","Knowledge",6.0,undirected
"Action","Labour",3.0,undirected
"Action","Law",8.0,undirected
"Action","Life",6.0,undirected
"Action","Manifold",2.0,undirected
"Action","Matter",10.0,undirected
"Action","Moment",19.0,undirected
"Action","Morality",10.0,undirected
"Action","Movement",11.0,undirected
"Action","Nature",27.0,undirected
"Action","Negativity",6.0,undirected
"Action","Notion",15.0,undirected
"Action","Object",13.0,undirected
"Action","Observation",2.0,undirected
"Action","Observer",2.0,undirected
"Action","Oracle",1.0,undirected
"Action","Order",5.0,undirected
"Action","Organism",6.0,undirected
"Action","Pathos",3.0,undirected
"Action","Perception",2.0,undirected
"Action","Perversion",1.0,undirected
"Action","Plato",1.0,undirected
"Action","Positive",4.0,undirected
"Action","Possession",2.0,undirected
"Action","Power",6.0,undirected
"Action","Principle",16.0,undirected
"Action","Punishment",1.0,undirected
"Action","Purity",1.0,undirected
"Action","Purposiveness",1.0,undirected
"Action","Quality",3.0,undirected
"Action","Reality",38.0,undirected
"Action","Reason",2.0,undirected
"Action","Recognition",2.0,undirected
"Action","Reflection",3.0,undirected
"Action","Rejection",1.0,undirected
"Action","Relationship",8.0,undirected
"Action","Religion",2.0,undirected
"Action","Reproduction",1.0,undirected
"Action","Responsibility",1.0,undirected
"Action","Rightness",1.0,undirected
"Action","Sacrifice",4.0,undirected
"Action","Scepticism",1.0,undirected
"Action","Science",1.0,undirected
